时间(ms),颗粒温度(K),火焰温度(K),颗粒半径(um),氧化层厚度(um),火焰半径(um),Mg质量(ug),MgO质量(ug),碳质量(ug),对流换热(W),辐射换热(W),反应热(W),表面反应热(W),总热量(W)
0,300,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00903551152509714,0.00141575609417633,0,0,0.0104512676192735
0.1,315.111511119267,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00892825289754037,0.00141534866698148,0,0,0.0103436015645219
0.2,330.067303473054,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00882209953212041,0.00141488340073511,0,0,0.0102369829328555
0.3,344.868888397298,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00871704070166267,0.00141435626348062,0,0,0.0101313969651433
0.4,359.517755968963,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00861306582988466,0.00141376327848787,0,0,0.0100268291083725
0.5,374.015375625187,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00851016448700149,0.00141310053718796,0,0,0.00992326502418945
0.6,388.363196163273,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00840832638972584,0.00141236421092361,0,0,0.00982069060064944
0.7,402.562698812772,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.0083075410245725,0.00141155055837086,0,0,0.00971909158294336
0.8,416.615320683214,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00820779819121177,0.00141065593850863,0,0,0.0096184541297204
0.9,430.522418467376,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00810908826009672,0.00140967682251558,0,0,0.00951876508261231
1,444.285334931879,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00801140170052566,0.00140860979813366,0,0,0.00942001149865932
1.1,457.905398917181,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00791472908064212,0.00140745157636758,0,0,0.00932218065700969
1.2,471.383925337579,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00781906106743486,0.0014061989973565,0,0,0.00922526006479136
1.3,484.722215181211,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00772438842673791,0.00140484903547295,0,0,0.00912923746221086
1.4,497.921555510053,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.0076307020232305,0.00140339880370144,0,0,0.00903410082693194
1.5,510.983219459921,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00753799282043711,0.00140184555734632,0,0,0.00893983837778344
1.6,523.908466240471,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00744625188072746,0.00140018669711589,0,0,0.00884643857784336
1.7,536.698541135199,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00735547036531649,0.00139841977162724,0,0,0.00875389013694373
1.8,549.354675501437,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00726563953426439,0.00139654247937395,0,0,0.00866218201363833
1.9,561.878086770361,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00717675074647657,0.00139455267019651,0,0,0.00857130341667308
2,574.269978446984,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00708879545970369,0.00139244834629307,0,0,0.00848124380599676
2.1,586.531540110158,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00700176523054163,0.00139022766280612,0,0,0.00839199289334775
2.2,598.663947412576,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00691565171443152,0.00138788892801873,0,0,0.00830354064245025
