时间(ms),颗粒温度(K),火焰温度(K),颗粒半径(um),氧化层厚度(um),火焰半径(um),Mg质量(ug),MgO质量(ug),碳质量(ug),对流换热(W),辐射换热(W),反应热(W),表面反应热(W),总热量(W),Mg质量变化率(ug/s),MgO质量变化率(ug/s),C质量变化率(ug/s),Mg核半径变化率(um/s),颗粒半径变化率(um/s)
0,300,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0168314701170812,0.00491277701056553,0,0,0.0217442471276468,0,0,0,0,0
0.1,305.456920882873,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.016759319291652,0.0049122903907275,0,0,0.0216716096823795,0,0,0,0,0
0.2,310.895609394151,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0166874095326939,0.00491177874107732,0,0,0.0215991882737712,0,0,0,0,0
0.3,316.31611966333,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0166157401245124,0.0049112413725189,0,0,0.0215269814970313,0,0,0,0,0
0.4,321.71850546767,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0165443103560704,0.00491067759649056,0,0,0.021454987952561,0,0,0,0,0
0.5,327.10282023473,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0164731195209544,0.004910086725283,0,0,0.0213832062462374,0,0,0,0,0
0.6,332.469117042362,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0164021669173746,0.00490946807234911,0,0,0.0213116349897237,0,0,0,0,0
0.7,337.817448844471,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0163314518451802,0.00490882095257773,0,0,0.021240272797758,0,0,0,0,0
0.8,343.147868137685,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0162609736102665,0.00490814468262391,0,0,0.0211691182928904,0,0,0,0,0
0.9,348.460426813705,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0161907315265267,0.00490743858121779,0,0,0.0210981701077445,0,0,0,0,0
1,353.755176446945,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0161207249120497,0.00490670196940977,0,0,0.0210274268814594,0,0,0,0,0
1.1,359.032168294533,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.016050953089119,0.0049059341708404,0,0,0.0209568872599594,0,0,0,0,0
1.2,364.291453296312,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0159814153842135,0.00490513451200295,0,0,0.0208865498962165,0,0,0,0,0
1.3,369.533082074837,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0159121111280072,0.00490430232249867,0,0,0.0208164134505059,0,0,0,0,0
1.4,374.757104935379,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0158430396553693,0.004903436935285,0,0,0.0207464765906543,0,0,0,0,0
1.5,379.963571865922,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0157742003053638,0.00490253768691682,0,0,0.0206767379922806,0,0,0,0,0
1.6,385.152532537162,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0157055924212501,0.00490160391778088,0,0,0.020607196339031,0,0,0,0,0
1.7,390.324036302513,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0156372153504827,0.00490063497232363,0,0,0.0205378503228063,0,0,0,0,0
1.8,395.478132198101,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0155690684447112,0.00489963019927254,0,0,0.0204686986439837,0,0,0,0,0
1.9,400.614868942764,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0155011510597802,0.004898588951851,0,0,0.0203997400116312,0,0,0,0,0
2,405.734294938057,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0154334625557297,0.00489751058798705,0,0,0.0203309731437167,0,0,0,0,0
2.1,410.836458268247,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0153660022967944,0.004896394470516,0,0,0.0202623967673104,0,0,0,0,0
2.2,415.921406700317,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0152987696514046,0.00489523996737712,0,0,0.0201940096187817,0,0,0,0,0
2.3,420.989187683961,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0152317639921853,0.00489404645180442,0,0,0.0201258104439897,0,0,0,0,0
2.4,426.039848351589,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0151649846959569,0.00489281330251184,0,0,0.0200577979984688,0,0,0,0,0
2.5,431.073435518325,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0150984311437349,0.00489153990387278,0,0,0.0199899710476077,0,0,0,0,0
2.6,436.089995682007,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0150321027207298,0.00489022564609419,0,0,0.019922328366824,0,0,0,0,0
2.7,441.089575023185,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0149659988163472,0.00488886992538539,0,0,0.0198548687417326,0,0,0,0,0
2.8,446.072219405125,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.014900118824188,0.00488747214412161,0,0,0.0197875909683096,0,0,0,0,0
2.9,451.037974373806,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0148344621420481,0.00488603171100246,0,0,0.0197204938530505,0,0,0,0,0
3,455.986885157922,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0147690281719185,0.00488454804120541,0,0,0.0196535762131239,0,0,0,0,0
3.1,460.91899666888,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0147038163199854,0.00488302055653439,0,0,0.0195868368765198,0,0,0,0,0
3.2,465.834379418937,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0146388256539433,0.00488144867714303,0,0,0.0195202743310864,0,0,0,0,0
3.3,470.73310069691,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0145740552841066,0.00487983182999497,0,0,0.0194538871141016,0,0,0,0,0
3.4,475.615200256442,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0145095046848569,0.00487816945751134,0,0,0.0193876741423683,0,0,0,0,0
3.5,480.480717738327,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0144451733320679,0.00487646100934183,0,0,0.0193216343414097,0,0,0,0,0
3.6,485.329692670512,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0143810607031051,0.00487470594248696,0,0,0.0192557666455921,0,0,0,0,0
3.7,490.162164468091,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0143171662768266,0.00487290372141567,0,0,0.0191900699982423,0,0,0,0,0
3.8,494.978172433311,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0142534895335821,0.00487105381817817,0,0,0.0191245433517603,0,0,0,0,0
3.9,499.77775575557,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0141900299552136,0.00486915571251421,0,0,0.0190591856677279,0,0,0,0,0
4,504.560953511415,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0141267870250553,0.00486720889195688,0,0,0.0189939959170122,0,0,0,0,0
4.1,509.327804664545,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0140637602279332,0.00486521285193196,0,0,0.0189289730798651,0,0,0,0,0
4.2,514.078348065809,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0140009490501655,0.00486316709585296,0,0,0.0188641161460184,0,0,0,0,0
4.3,518.812622453206,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0139383529795625,0.00486107113521191,0,0,0.0187994241147744,0,0,0,0,0
4.4,523.530666451888,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0138759715054267,0.00485892448966601,0,0,0.0187348959950927,0,0,0,0,0
4.5,528.232518574156,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0138138041185525,0.00485672668712018,0,0,0.0186705308056727,0,0,0,0,0
4.6,532.918217219461,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0137518503112264,0.0048544772638057,0,0,0.0186063275750321,0,0,0,0,0
4.7,537.587800674407,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0136901095772271,0.00485217576435478,0,0,0.0185422853415819,0,0,0,0,0
4.8,542.241307112746,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0136285814118252,0.00484982174187148,0,0,0.0184784031536967,0,0,0,0,0
4.9,546.878774595382,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0135672653117837,0.00484741475799876,0,0,0.0184146800697824,0,0,0,0,0
5,551.500241070371,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0135061607753572,0.0048449543829819,0,0,0.0183511151583391,0,0,0,0,0
5.1,556.105744372917,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0134452673022929,0.00484244019572829,0,0,0.0182877074980211,0,0,0,0,0
