Time,Temperature,MeltedFraction,Stage,OxideThickness,MassMg,MassMgO,MassC
0,300,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0001,301.652542673456,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0002,303.304645024463,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0003,304.956306511677,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0004,306.60752658721,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0005,308.258304696593,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0006,309.908640278782,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0007,311.558532764774,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0008,313.207981579766,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0009,314.856986143883,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.001,316.505545870312,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0011,318.153660165302,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0012,319.801328428167,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0013,321.448550051279,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0014,323.095324420079,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0015,324.741650913065,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0016,326.3875289018,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0017,328.03295775091,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0018,329.677936818084,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0019,331.322465454072,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.002,332.966543002687,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0021,334.610168800805,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0022,336.253342178366,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0023,337.896062458371,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0024,339.538328956883,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0025,341.18014098303,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0026,342.821497839,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0027,344.462398820046,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0028,346.102843214482,0,heating_and_melting,0,2.74013701068772e-10,0,0
0.0029,347.742830303686,0,heating_and_melting,0,2.74013701068772e-10,0,0
